id,CALL_RDD_RECORD,CALL_RDD_CNT,CALL_RDD_CNT_IN,CALL_RDD_LOCAL,CALL_RDD_IN_PROVINCE,CALL_RDD_BY_PROVINCE,CALL_RDD_GAT,CALL_RDD_INTERNATIONAL,CALL_RDD_TIME,CALL_RDD_TIME_IN,CALL_RDD_TIME_INOUTRATIO,CALL_RDD_TIME_PERSON,CALL_RDD_TIME_BUSINESS,CALL_RDD_TIME_PBRATIO,CALL_RDD_PERSON,CALL_RDD_PERSON_IN,CALL_RDD_PERSON_RATIO,CALL_RDD_BUSINESS,CALL_RDD_BUSINESS_IN,CALL_RDD_BUSINESS_RATIO,CALL_RDD_PBRATIO,CALL_RDD_HOWMANYPERSON,CALL_RDD_HOWMANYBUSINESS,CALL_RDD_AVGTIME,CALL_RDD_DAYTIME,CALL_RDD_AFTERNOON,CALL_RDD_NIGHT,CALL_RDD_BEFOREDAWN,CALL_RDD_MAXTIME,CALL_RDD_MINTIME,CALL_RDD_TIMEVAR,CALL_RDD_MEANFREQ,CALL_RDD_MINFREQ,CALL_RDD_MAXFREQ,CALL_RDD_VARFREQ,CALL_RDD_FREQONEDAY,CALL_RDD_SHORTTIME,CALL_RDD_LONGTIME,CALL_RDD_LLONGTIME,CALL_RDD_LIANTONG,CALL_RDD_YIDONG,CALL_RDD_DIANXIN,CALL_RDD_KEFU,CALL_RDD_DAYWITHCALL,CALL_RDD_DAYWITHCALLIN,CALL_RDD_DAYWITHCALLOUT
u1994,1,49,47,47,2,,,,53.5,52.53333282,0.9819296,53,0.5,0.990652382,48,46,0.958331347,1,1,0.999899983,0.97958982,0,23,1.091834545,24,22,11,7,4.583333492,0.150000006,0.836326241,20.20277405,0.016666668,170.6666718,840.9805298,1.187949777,30,0,0,8,35,3,0,25,25,1
u2415,1,2,0,,2,,,,0.566666663,0,0,0.566666663,0,0.99982357,2,0,0,0,0,0,0.999949992,0,1,0.283319175,1,1,0,0,0.283333331,0.283333331,2.01E-10,835.3583374,835.3666382,835.3666382,6.98E-05,0.028730182,2,0,0,2,0,0,0,2,,2
u4749,1,2,0,2,,,,,1.049999952,0,0,1.049999952,0,0.999904752,2,0,0,0,0,0,0.999949992,0,1,0.52497375,0,2,2,0,1.033333302,0.016666668,0.25838986,0.0166665,0.016666668,0.016666668,2.78E-14,1431.425781,1,0,0,0,2,0,0,1,,1
u2720,1,49,13,35,,14,,,60.56666565,8.566666603,0.141441703,47.91666794,12.64999962,0.791137934,38,11,0.289472908,11,2,0.181816533,0.775508642,0,32,1.236051917,30,21,11,1,12.03333378,0.150000006,2.921948195,15.02777481,0,225.0500031,1418.996582,1.597032189,26,1,0,14,14,2,5,14,9,10
u2270,1,177,62,135,41,1,,,195.5833282,75.46666718,0.385854095,194.3999939,1.183333278,0.993949234,176,61,0.346590698,1,1,0.999899983,0.994349718,0,43,1.104990005,118,59,9,20,10.66666698,0.033333335,1.589561462,6.031533718,0,73.6166687,126.1794586,3.979021549,111,3,0,18,109,49,0,38,32,31
u0548,1,52,29,38,14,,,,267.1833191,126.4666672,0.473332733,266.2333374,0.949999988,0.996443987,49,26,0.530611157,3,3,0.999966681,0.942305863,0,11,5.138131142,17,27,14,2,115,0.100000001,328.1528015,20.40587807,0.283333331,96.3833313,376.069519,1.176125884,43,3,3,0,47,1,0,32,18,17
u4297,1,31,11,19,8,4,,,58.65000153,19.60000038,0.334185272,54.71666718,3.933333397,0.932933927,28,11,0.392855734,3,0,0,0.903222919,0,16,1.891929388,17,18,5,4,7.833333492,0.13333334,3.661240339,31.35943413,0,761.9500122,18495.86914,0.7653175,16,3,0,14,8,5,1,8,5,6
u4410,1,54,37,52,,2,,,40.83333206,28.51666641,0.698365629,38.26666641,2.566666603,0.937140584,51,36,0.70588094,3,1,0.333322227,0.944442689,0,30,0.756171465,17,26,18,0,3.783333302,0.06666667,0.626452506,19.04307747,0.033333335,146.7333374,1090.800781,1.260293841,38,0,0,9,28,10,1,20,18,9
u2308,1,84,69,80,2,2,,,206.3500061,130.3999939,0.631935716,124.4499969,81.90000153,0.603101254,58,47,0.810343444,26,22,0.846150577,0.690475345,0,43,2.456544638,33,52,9,5,30.36666679,0.100000001,23.82883453,12.39758873,0.016666668,97.30000305,251.8704681,1.93584466,54,10,2,11,24,15,0,36,34,12
u0631,1,227,103,207,5,15,,,311.8166809,152.0833282,0.487733006,274.3166809,37.5,0.879736722,213,96,0.450704008,14,7,0.499996424,0.938325584,0,48,1.373641133,97,99,58,5,17.20000076,0.016666668,5.102155209,4.698819637,0,39.36666489,50.65629196,5.10755682,157,15,0,55,104,53,2,42,38,36
u1942,1,116,100,116,,,,,207.6833344,164.8500061,0.793756127,177.3999939,30.28333282,0.854184628,89,79,0.887639463,27,21,0.77777487,0.767240703,0,77,1.790372014,40,71,15,2,15.08333302,0.033333335,7.556967258,9.266955376,0.016666668,67.98332977,169.4358673,2.589819431,72,12,0,16,37,35,2,38,37,12
u1581,1,12,5,11,,1,,,5.816666603,1.850000024,0.318046123,5.816666603,0,0.999982834,12,5,0.4166632,0,0,0,0.999991655,0,4,0.484718174,4,8,3,0,1.033333302,0.016666668,0.082890898,68.20600128,0.166666672,342.1499939,14815.37695,0.351874679,11,0,0,11,1,0,0,6,3,5
u1504,1,230,134,230,,,,,295.2166748,197.4833374,0.668943465,294.1499939,1.066666722,0.996386468,228,133,0.583333075,2,1,0.499974996,0.991303921,0,22,1.283550143,109,62,30,75,13.21666622,0.016666668,3.386784792,4.667394161,0.016666668,49.58333206,71.47962189,5.141945362,151,10,0,92,61,75,1,40,33,30
u4696,1,63,10,20,,43,,,172.8833313,16.06666756,0.092933521,170.9499969,1.933333278,0.988816559,61,10,0.163934156,2,0,0,0.96825242,0,21,2.744175434,22,31,22,1,14.39999962,0.016666668,10.74341488,11.9059124,0,93.48332977,306.8805847,2.015788317,25,12,0,23,37,0,0,24,8,23
u2942,1,261,136,251,,10,,,185.9333344,94.1333313,0.506274402,183.2333374,2.700000048,0.985478163,259,135,0.521235347,2,1,0.499974996,0.99233681,0,60,0.712387979,50,140,112,17,14.16666698,0.016666668,1.47843051,3.976602316,0,82.71666718,76.79447937,6.035151005,214,3,0,70,152,36,0,39,31,35
u1406,1,229,162,183,9,37,,,393.9333191,301.7333374,0.765950024,389.0333252,4.900000095,0.987561107,221,155,0.701357126,8,7,0.874989092,0.965065062,1,50,1.720232129,96,121,32,11,27.35000038,0.033333335,9.682851791,4.634064198,0.016666668,70.6166687,63.77844238,5.178927422,148,19,1,57,146,13,0,42,41,30
u1705,1,149,60,147,,2,,,206.5833282,93.80000305,0.454053849,205.1166687,1.466666698,0.992899895,145,57,0.393103182,4,3,0.749981225,0.97315371,0,13,1.386464357,73,61,21,22,15.33333302,0.083333336,3.890822887,7.17635107,0.016666668,46,90.31291199,3.344271421,97,8,0,79,47,19,1,40,33,32
u4681,1,462,138,445,4,13,,,510.5499878,136.75,0.267848343,342.7000122,167.8500061,0.671236753,414,127,0.306763202,48,11,0.229166195,0.89610368,5,148,1.105086327,135,184,171,44,15.4333334,0.016666668,2.717377901,2.109652996,0,113.1166687,44.41392517,11.37574005,337,20,0,290,17,83,1,36,33,35
u3511,1,103,40,73,22,8,,,181.0333405,91.68333435,0.506444216,149.3999939,31.63333321,0.82526195,81,34,0.419752568,22,6,0.272726029,0.786406994,0,44,1.757603526,44,52,22,3,16.48333359,0.016666668,7.100628376,10.41993332,0,76.1166687,217.4746094,2.303255558,65,10,0,19,20,37,4,37,24,28
u3646,1,1228,321,469,156,603,,,2914.366699,617.916687,0.212024331,2860.199951,54.16666794,0.981413901,1148,295,0.256968617,80,26,0.324999601,0.934853315,1,335,2.373262644,636,515,175,134,44.95000076,0.016666668,24.15309334,0.872792721,0,14.83333302,3.80861783,27.49478722,665,84,27,198,809,141,4,45,43,45
u1644,1,124,59,119,5,,,,174.9666595,95.76667023,0.547342062,172.8666687,2.099999905,0.987997174,123,59,0.479674399,1,0,0,0.991934657,0,14,1.411020398,33,67,33,19,16.85000038,0.033333335,4.172626019,8.446205139,0,76.06666565,162.6264343,2.841479063,77,7,0,36,68,19,1,38,32,28
u2083,1,4,3,1,3,,,,1.75,0.550000012,0.314267755,1.583333373,0.166666672,0.904710233,3,2,0.666644454,1,1,0.999899983,0.749981225,0,4,0.437489063,0,4,0,0,1.200000048,0.116666667,0.196713835,240.0658722,96.30000305,505,35179.84375,0.099972524,3,0,0,0,1,0,0,4,3,1
u3055,1,417,258,379,19,19,,,520.4666748,376.1000061,0.722620606,518.6500244,1.816666722,0.996509373,414,255,0.615941882,3,3,0.999966681,0.992805541,0,57,1.248121262,151,191,124,51,28.35000038,0.016666668,6.669353485,2.553245068,0,46.56666565,22.78643417,9.39943409,293,14,2,95,243,74,0,44,42,36
u1138,1,390,179,388,2,,,,621.0499878,151.6333313,0.244156361,613.083313,7.966666698,0.987172127,382,172,0.450261652,8,7,0.874989092,0.979486942,0,99,1.592435479,141,235,55,19,21.01666641,0.016666668,5.162222862,2.73230505,0,27.81666756,24.50875092,8.783471107,221,23,1,216,132,15,1,45,40,41
u0902,1,615,278,293,157,163,,2,905.6833496,348.75,0.385068327,900.5666504,5.116666794,0.994350374,605,274,0.452892482,10,4,0.399996012,0.983739674,0,84,1.472655535,316,316,72,17,25.04999924,0.033333335,6.106494904,1.733251929,0,40.83333206,18.28579712,13.84600544,367,27,3,117,342,144,0,43,42,42
u4417,1,4,3,4,,,,,1.850000024,0.649999976,0.351332366,1.466666698,0.383333325,0.792749941,3,2,0.666644454,1,1,0.999899983,0.749981225,0,3,0.462488443,1,3,0,0,1.200000048,0.100000001,0.192269504,170.3327637,1.883333325,271.1833191,14371.91406,0.140900582,3,0,0,0,3,0,1,3,2,1
u3759,1,43,10,43,,,,,151.8666687,39.43333435,0.259657413,133.8666687,18,0.881474376,34,9,0.264705092,9,1,0.111109875,0.790695846,0,18,3.531774759,17,19,12,6,19.96666718,0.116666667,21.11421204,17.16666222,0.016666668,156.8999939,1046.986206,1.398050427,17,10,0,6,26,1,6,13,7,13
u0597,1,1195,596,1181,6,8,,,1272.983276,648.2833252,0.509262979,1253.516724,19.46666718,0.984707773,1170,585,0.49999997,25,11,0.439998239,0.979079425,1,232,1.065257907,572,555,123,183,17.5,0.016666668,1.711019039,0.892629802,0,17.14999962,5.539570808,26.88383484,804,26,0,168,907,90,6,45,45,45
u0449,1,413,272,359,1,53,,,428.9333191,280.4833374,0.653908789,421.4833374,7.449999809,0.982631087,407,270,0.663390517,6,2,0.33332777,0.985471904,0,97,1.038579226,23,131,201,107,25.79999924,0.016666668,3.801157951,2.609425545,0,23.89999962,21.96739197,9.197073936,305,13,1,77,305,19,0,45,45,39
u1285,1,1061,491,1006,42,13,,,1364.916626,652.2166748,0.477843553,1332.650024,32.26666641,0.976359904,1032,474,0.459302276,29,17,0.586204886,0.972667217,1,162,1.286443472,528,506,119,148,17.23333359,0.016666668,2.490040302,1.003286123,0,18.83333397,6.165352821,23.91900635,625,29,0,169,738,121,2,45,45,45
u2102,1,100,5,91,2,7,,,95.53333282,3.333333254,0.034891799,95.53333282,0,0.999998927,100,5,0.049999949,0,0,0,0.999998987,0,84,0.955332398,39,77,12,0,4.116666794,0.033333335,0.58853209,8.516328812,0.016666668,602.0166626,3641.211182,2.818082571,60,0,0,22,66,11,0,11,4,11
u3234,1,285,186,244,22,19,,,683.4666748,509.4166565,0.745342255,671.9666748,11.5,0.983173847,275,179,0.650908828,10,7,0.699993014,0.964911938,0,32,2.398127794,94,162,87,10,31.91666603,0.016666668,16.93226814,3.736032724,0,24.88333321,28.9646492,6.423754692,139,28,5,169,71,35,2,45,44,34
u3081,1,262,162,259,1,2,,,202.3166656,137.8500061,0.681357265,202,0.316666663,0.998434305,261,162,0.620689392,1,0,0,0.996182799,0,45,0.772200704,74,144,91,6,9.083333015,0.016666668,1.040364385,4.100510597,0,22.98333359,31.45623589,5.852786541,215,3,0,214,43,4,0,45,43,32
u4450,1,1929,879,1929,,,,,1525.083374,721.3166504,0.472968668,1507.333374,17.75,0.988361239,1921,874,0.454971343,8,5,0.624992192,0.995852709,0,152,0.790608227,1113,673,248,551,13.71666622,0.016666668,0.773831606,0.55567944,0,15.21666622,2.32046628,43.18259811,1563,17,0,1916,2,3,7,45,45,45
u1094,1,123,86,123,,,,,153.9333344,104.2666702,0.677349091,151.0333405,2.900000095,0.981160045,120,84,0.699999392,3,2,0.666644454,0.975608945,0,25,1.25148952,41,67,20,6,10.9333334,0.083333336,2.771854162,8.710791588,0.016666668,50.86666489,96.49807739,2.755171537,78,5,0,78,30,12,1,43,41,21
u4888,1,281,29,258,15,8,,,286.1833191,45.09999847,0.157591239,281.3333435,4.849999905,0.983052492,276,28,0.101449236,5,1,0.199995995,0.982206047,0,236,1.018445611,96,183,3,0,5,0.13333334,0.551392436,3.771904707,0,93.01667023,112.6621552,6.3626647,176,0,0,28,203,45,2,35,19,32
u2142,1,132,41,126,5,1,,,149.5833282,42.96666718,0.287242144,147.6999969,1.883333325,0.987408817,127,37,0.291338354,5,4,0.799983978,0.962120473,0,41,1.133206248,35,68,41,1,16.36666679,0.016666668,5.589543343,6.647073269,0,114.6500015,257.5733643,3.610557318,110,6,0,14,78,11,0,23,17,21
u1136,1,41,18,40,1,,,,31.71666718,12.63333321,0.398317188,31.71666718,0,0.999996841,41,18,0.439023316,0,0,0,0.999997556,0,13,0.773575366,20,21,5,3,3.216666698,0.06666667,0.646285355,23.54749489,0,122.4333344,1164.188721,1.019212365,33,0,0,10,31,0,0,17,11,13
u3010,1,335,123,329,1,5,,,486.7833252,201.5500031,0.414044499,470.3500061,16.43333244,0.966240764,298,99,0.332214653,37,24,0.648646891,0.889551997,0,55,1.453084111,147,159,61,32,30,0.016666668,8.20585537,3.172904015,0,36.34999847,29.74305534,7.563809872,207,6,3,47,176,75,2,45,40,44
u1309,1,58,30,49,9,,,,130.9333344,28.98333359,0.221359298,129.1666718,1.766666651,0.986506402,55,27,0.490908206,3,3,0.999966681,0.948274255,1,21,2.25746727,26,27,15,2,30,0.016666668,31.11494827,18.40496826,0.016666668,96.15000153,580.5386353,1.303988695,40,2,2,4,38,10,2,27,19,18
u3243,1,35,17,35,,,,,45.11666489,35.09999847,0.777981281,45.11666489,0,0.999997795,35,17,0.485712886,0,0,0,0.999997139,0,9,1.289043903,18,19,8,3,21.95000076,0.016666668,13.18880272,28.92842293,0.016666668,184.6499939,1864.378662,0.829631031,29,0,1,17,6,11,0,17,12,9
u3822,1,1,1,1,,,,,0.116666667,0.116666667,0.9991436,0,0.116666667,0,0,0,0,1,1,0.999899983,0,0,1,0.116655,0,1,0,0,0.116666667,0.116666667,1.36E-10,1080,1080,1080,0,0.022222221,1,0,0,0,0,0,0,1,1,
u1923,1,220,70,43,166,11,,,362.9500122,143.6666718,0.395830363,346.0833435,16.86666679,0.953528702,190,67,0.35263139,30,3,0.099999666,0.863635957,0,34,1.649771929,65,91,77,40,27.51666641,0.033333335,6.798121929,4.727396965,0.016666668,38.86666489,43.55316162,5.076682091,132,14,1,76,111,3,1,43,30,38
u2354,1,732,498,677,41,14,,,842,597.2833252,0.709362566,828.916687,13.08333302,0.984461486,720,492,0.683333218,12,6,0.499995828,0.983606398,1,118,1.150273085,315,341,131,96,30,0.016666668,5.426608086,1.466233492,0,18.33333397,7.395898342,16.36735535,513,16,3,57,615,46,2,45,45,39
u2848,1,74,48,66,,8,,,83.66666412,58.48333359,0.69900316,76.58333588,7.083333492,0.915337563,71,47,0.661970913,3,1,0.333322227,0.959458172,0,50,1.130629063,34,42,4,1,4.599999905,0.166666672,0.602026403,14.5470295,0.033333335,144.2166595,580.3162842,1.649809957,39,0,0,14,14,11,0,29,25,15
u2358,1,382,168,305,14,63,,,739.2999878,366.8166809,0.496167481,734.416687,4.883333206,0.993394494,376,163,0.433510512,6,5,0.833319426,0.984292924,0,57,1.935339808,185,136,88,44,27.13333321,0.050000001,10.02132702,2.798337698,0,31.45000076,23.59725761,8.576213837,201,22,3,138,124,109,0,45,41,41
u2506,1,22,11,22,,,,,29.70000076,10.16666698,0.342310846,26.71666718,2.983333349,0.899548054,20,10,0.499997497,2,1,0.499974996,0.909086764,0,9,1.349993825,11,11,3,1,3.349999905,0.150000006,0.953177512,30.80554008,0.13333334,113.9000015,1010.505981,0.779078066,10,0,0,2,1,16,1,14,8,9
u0328,1,31,17,21,9,1,,,20.68333244,15.21666622,0.735693455,20.68333244,0,0.999995172,31,17,0.548385322,0,0,0,0.999996781,0,6,0.667202175,7,15,14,1,2.599999905,0.083333336,0.4752222,30.38443375,0.06666667,163.1833344,2177.380615,0.789875507,25,0,0,8,23,0,0,13,8,10
u1735,1,178,114,178,,,,,288.8166809,194.75,0.674302936,285.0499878,3.766666651,0.986957908,175,112,0.639999628,3,2,0.666644454,0.983145535,0,22,1.622564673,93,101,28,20,29.98333359,0.083333336,9.646025658,5.944255829,0,25.85000038,57.24382782,4.037443161,117,13,1,7,97,71,1,45,41,31
u2009,1,72,63,69,3,,,,159.2666626,82.98332977,0.521033585,125.7333298,33.53333282,0.789451182,54,46,0.851850271,18,17,0.944439173,0.749998987,2,49,2.212033987,35,38,6,3,24.38333321,0.016666668,20.26115417,14.62863636,0,70.40000153,257.9978027,1.640606523,42,5,1,11,34,7,1,36,34,9
u2430,1,181,77,104,3,74,,,424.8999939,220.2666626,0.518396378,400.0166626,24.88333321,0.941437006,173,75,0.433525771,8,2,0.249996871,0.955800593,0,51,2.347512484,81,90,27,6,27.66666603,0.083333336,11.13341427,5.888240337,0,47.79999924,77.37641907,4.07585144,87,22,1,19,126,21,6,42,31,36
u1030,1,157,90,121,,36,,,360.4666748,218.6499939,0.606574655,350.4166565,10.05000019,0.972119212,149,90,0.604026437,8,0,0,0.949043989,0,28,2.295964479,71,71,31,4,23.43333244,0.016666668,14.30459595,6.341666222,0.016666668,55.95000076,110.2466965,3.784434557,85,17,2,88,43,15,7,37,32,29
u3009,1,91,53,90,,1,,,218.5,201.0666656,0.920213163,217.6666718,0.833333313,0.99618566,90,52,0.577777147,1,1,0.999899983,0.989009917,0,9,2.401096344,40,33,30,5,50.56666565,0.116666667,52.88303757,11.64148045,0,120.9166641,319.4107971,2.06157589,72,1,5,50,8,32,1,35,28,25
u0444,1,254,65,178,,76,,,592.5,121.8833313,0.205710232,587.2166748,5.283333302,0.991082788,246,63,0.256097466,8,2,0.249996871,0.968503535,0,41,2.332676172,103,123,58,11,25.75,0.016666668,12.5124464,4.187747002,0,67.66666412,53.64044571,5.73086834,117,28,1,114,130,2,1,43,31,42
u0553,1,81,52,75,5,1,,,346.75,90.6166687,0.26133135,334.8166809,11.9333334,0.965584934,69,43,0.623187482,12,9,0.749993742,0.851850808,1,30,4.280858994,22,35,29,4,63,0.033333335,109.8001862,13.17312336,0,72.09999847,233.6194305,1.821877599,44,10,3,13,41,14,2,36,28,17
u1018,1,83,47,74,,9,,,89.40000153,30.14999962,0.337247938,83.66666412,5.733333111,0.935867727,77,46,0.597401798,6,1,0.166663885,0.927709699,0,22,1.077107191,34,19,20,26,22.26666641,0.033333335,6.962532997,12.55487633,0,61.79999924,182.1762848,1.911592603,62,2,1,30,42,4,6,37,29,21
u1957,1,239,129,230,9,,,,467.8333435,349.5499878,0.747167647,460.0833435,7.75,0.983434081,231,129,0.558441341,8,0,0,0.966526806,0,35,1.95746088,102,94,60,24,24.81666756,0.06666667,9.437354088,4.489915848,0.016666668,76.28333282,59.67341614,5.345192909,136,22,1,121,82,27,0,43,39,38
u4208,1,19,9,15,4,,,,11.16666698,3.950000048,0.353728175,11.16666698,0,0.999991059,19,9,0.473681718,0,0,0,0.999994755,0,5,0.587716222,11,8,5,1,1.883333325,0.13333334,0.229789495,53.50645065,0.050000001,646.333313,21339.84961,0.448543191,16,0,0,16,2,0,0,10,6,5
u0978,1,35,29,35,,,,,44.98333359,42.11666489,0.936270595,43.41666794,1.566666722,0.965170145,31,25,0.806448996,4,4,0.999975026,0.88571173,0,12,1.285234451,10,15,9,8,6.683333397,0.016666668,2.138434649,30.53871727,0.050000001,141.6833344,1608.086304,0.785885096,21,2,0,2,26,2,0,19,16,6
u2958,1,133,72,133,,,,,210.1999969,117.1500015,0.557326078,209.8999939,0.300000012,0.99857229,132,71,0.537878394,1,1,0.999899983,0.992480457,0,32,1.580449939,67,54,21,24,20.16666603,0.016666668,8.427117348,8.075631142,0,146.4833374,272.5026245,2.971867323,89,10,1,24,90,18,0,36,26,28
u0321,1,60,48,60,,,,,38.66666794,34.20000076,0.884480476,38.66666794,0,0.999997437,60,48,0.799998641,0,0,0,0.999998331,0,21,0.644443393,28,21,16,0,8.300000191,0.083333336,1.59922576,16.8903923,0,132.8500061,548.0978394,1.420917749,54,2,0,18,32,10,0,29,28,6
u2752,1,57,22,35,21,1,,,93.66666412,48.58333206,0.518682718,93.41666412,0.25,0.997329891,56,22,0.392856449,1,0,0,0.982454419,0,22,1.643271923,29,30,0,9,20.58333397,0.150000006,8.06530571,16.71666336,0.016666668,220.8500061,2191.904053,1.435684562,31,1,1,1,38,17,0,9,7,4
u2052,1,122,65,116,1,5,,,282.8500061,155.7666626,0.550703943,249.2666626,33.58333206,0.881267726,95,53,0.55789417,27,12,0.444442809,0.778687894,0,28,2.318440676,57,57,19,4,22.26666641,0.016666668,9.416489601,7.766390324,0,77.91666412,224.7666931,3.090198755,50,13,1,55,35,5,14,28,21,20
u2278,1,120,44,66,30,24,,,206.7333374,37.03333282,0.17913568,201.0833282,5.650000095,0.972669661,116,41,0.353447974,4,3,0.749981225,0.966665864,0,30,1.722776294,40,69,28,3,14.25,0.016666668,8.972779274,8.699439049,0,44.81666565,97.2430191,2.75876689,88,14,0,4,111,0,1,42,30,37
u3409,1,123,46,75,,48,,,648.25,201.4166718,0.310708255,643.9500122,4.300000191,0.993366599,114,46,0.403508425,9,0,0,0.926828504,0,15,5.270320892,39,50,50,20,30.08333397,0.016666668,38.9253273,8.780464172,0,49.04999924,138.3862762,2.733309746,45,40,3,8,106,0,0,40,18,36
u3717,1,2,2,,2,,,,0.783333361,0.783333361,0.999872386,0.783333361,0,0.999872386,2,2,0.999949992,0,0,0,0.999949992,0,2,0.391647071,0,1,2,0,0.666666687,0.116666667,0.075621217,0.833325028,0.833333313,0.833333313,6.94E-11,28.79683304,2,0,0,0,0,1,0,1,1,
u4046,1,8,3,8,,,,,31.31666756,21.01666641,0.671099484,30.68333244,0.633333325,0.979773343,6,2,0.33332777,2,1,0.499974996,0.749990642,0,6,3.91453433,6,4,1,0,20.36666679,0.216666669,40.1855011,23.57139397,0.116666667,140.2833405,2300.246582,1.01817894,4,0,1,2,4,0,0,3,2,2
u2611,1,384,215,379,3,2,,,489.0833435,283.0333252,0.578701556,466.6166687,22.46666718,0.954063535,375,210,0.559999824,9,5,0.555549383,0.976562262,0,46,1.273654222,178,161,68,39,26.70000076,0.016666668,4.395762444,2.742906809,0,47.65000153,28.0664196,8.749522209,247,11,1,276,73,26,3,43,40,38
