id,CALL_RDD_RECORD,CALL_RDD_CNT,CALL_RDD_CNT_IN,CALL_RDD_LOCAL,CALL_RDD_IN_PROVINCE,CALL_RDD_BY_PROVINCE,CALL_RDD_GAT,CALL_RDD_INTERNATIONAL,CALL_RDD_TIME,CALL_RDD_TIME_IN,CALL_RDD_TIME_INOUTRATIO,CALL_RDD_TIME_PERSON,CALL_RDD_TIME_BUSINESS,CALL_RDD_TIME_PBRATIO,CALL_RDD_PERSON,CALL_RDD_PERSON_IN,CALL_RDD_PERSON_RATIO,CALL_RDD_BUSINESS,CALL_RDD_BUSINESS_IN,CALL_RDD_BUSINESS_RATIO,CALL_RDD_PBRATIO,CALL_RDD_HOWMANYPERSON,CALL_RDD_HOWMANYBUSINESS,CALL_RDD_AVGTIME,CALL_RDD_DAYTIME,CALL_RDD_AFTERNOON,CALL_RDD_NIGHT,CALL_RDD_BEFOREDAWN,CALL_RDD_MAXTIME,CALL_RDD_MINTIME,CALL_RDD_TIMEVAR,CALL_RDD_MEANFREQ,CALL_RDD_MINFREQ,CALL_RDD_MAXFREQ,CALL_RDD_VARFREQ,CALL_RDD_FREQONEDAY,CALL_RDD_SHORTTIME,CALL_RDD_LONGTIME,CALL_RDD_LLONGTIME,CALL_RDD_LIANTONG,CALL_RDD_YIDONG,CALL_RDD_DIANXIN,CALL_RDD_KEFU,CALL_RDD_DAYWITHCALL,CALL_RDD_DAYWITHCALLIN,CALL_RDD_DAYWITHCALLOUT,CALL_RDD_DAY40TODAY45_CNT,CALL_RDD_DAY40TODAY45_IN,CALL_RDD_DAY40TODAY45_INOUTRATIO,CALL_RDD_DAY40TODAY45_RECORD,CALL_RDD_DAY40TODAY45_TIME,CALL_RDD_DAY40TODAY45_TIME_AVG,CALL_RDD_DAY40TODAY45_TIME_IN,CALL_RDD_DAY40TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY40TODAY45_TIME_VAR,CALL_RDD_DAY38TODAY45_CNT,CALL_RDD_DAY38TODAY45_IN,CALL_RDD_DAY38TODAY45_INOUTRATIO,CALL_RDD_DAY38TODAY45_RECORD,CALL_RDD_DAY38TODAY45_TIME,CALL_RDD_DAY38TODAY45_TIME_AVG,CALL_RDD_DAY38TODAY45_TIME_IN,CALL_RDD_DAY38TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY38TODAY45_TIME_VAR,CALL_RDD_DAY30TODAY45_CNT,CALL_RDD_DAY30TODAY45_IN,CALL_RDD_DAY30TODAY45_INOUTRATIO,CALL_RDD_DAY30TODAY45_RECORD,CALL_RDD_DAY30TODAY45_TIME,CALL_RDD_DAY30TODAY45_TIME_AVG,CALL_RDD_DAY30TODAY45_TIME_IN,CALL_RDD_DAY30TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY30TODAY45_TIME_VAR,CALL_RDD_DAY42TODAY45_CNT,CALL_RDD_DAY42TODAY45_IN,CALL_RDD_DAY42TODAY45_INOUTRATIO,CALL_RDD_DAY42TODAY45_RECORD,CALL_RDD_DAY42TODAY45_TIME,CALL_RDD_DAY42TODAY45_TIME_AVG,CALL_RDD_DAY42TODAY45_TIME_IN,CALL_RDD_DAY42TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY42TODAY45_TIME_VAR,label
u0631,1,227,103,207,5,15,0,0,311.8166809,152.0833282,0.487733006,274.3166809,37.5,0.879736722,213,96,0.450704008,14,7,0.499996424,0.938325584,0,48,1.373641133,97,99,58,5,17.20000076,0.016666668,5.102155209,4.698819637,0,39.36666489,50.65629196,5.10755682,157,15,0,55,104,53,2,42,38,36,46,19,0.413043469,1,67.1166687,1.459057927,40.54999924,0.604171813,7.362943172,56,23,0.410714298,1,73.46666718,1.311904788,42.51666641,0.57872051,6.196882248,102,50,0.490196079,1,115.3333359,1.130718946,60.40000153,0.523699403,4.48050499,32,15,0.46875,1,51.76666641,1.617708325,37.11666489,0.716999352,10.22289848,0
u1942,1,116,100,116,0,0,0,0,207.6833344,164.8500061,0.793756127,177.3999939,30.28333282,0.854184628,89,79,0.887639463,27,21,0.77777487,0.767240703,0,77,1.790372014,40,71,15,2,15.08333302,0.033333335,7.556967258,9.266955376,0.016666668,67.98332977,169.4358673,2.589819431,72,12,0,16,37,35,2,38,37,12,13,12,0.923076928,1,9.949999809,0.765384614,7,0.703517616,0.710746229,18,17,0.944444418,1,16.31666756,0.906481504,13.36666679,0.819203258,1.198707938,39,34,0.871794879,1,60.66666794,1.555555582,51.91666794,0.855769217,4.907682896,7,7,1,1,4.599999905,0.657142878,4.599999905,1,0.548401356,0
u1581,1,12,5,11,0,1,0,0,5.816666603,1.850000024,0.318046123,5.816666603,0,0.999982834,12,5,0.4166632,0,0,0,0.999991655,0,4,0.484718174,4,8,3,0,1.033333302,0.016666668,0.082890898,68.20600128,0.166666672,342.1499939,14815.37695,0.351874679,11,0,0,11,1,0,0,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0.666666687,1,2.616666555,0.436111122,1.483333349,0.566878974,0.055408951,0,0,0,0,0,0,0,0,0,0
u1504,1,230,134,230,0,0,0,0,295.2166748,197.4833374,0.668943465,294.1499939,1.066666722,0.996386468,228,133,0.583333075,2,1,0.499974996,0.991303921,0,22,1.283550143,109,62,30,75,13.21666622,0.016666668,3.386784792,4.667394161,0.016666668,49.58333206,71.47962189,5.141945362,151,10,0,92,61,75,1,40,33,30,60,37,0.616666675,1,86.59999847,1.443333387,65.09999847,0.751732111,4.251307487,96,54,0.5625,1,130.5500031,1.359895825,94.09999847,0.720796645,3.499407291,159,93,0.584905684,1,189.4833374,1.191719055,130.5500031,0.688978791,2.442745924,41,24,0.585365832,1,55.20000076,1.346341491,38.88333511,0.704408228,4.384654522,0
u4696,1,63,10,20,0,43,0,0,172.8833313,16.06666756,0.092933521,170.9499969,1.933333278,0.988816559,61,10,0.163934156,2,0,0,0.96825242,0,21,2.744175434,22,31,22,1,14.39999962,0.016666668,10.74341488,11.9059124,0,93.48332977,306.8805847,2.015788317,25,12,0,23,37,0,0,24,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0.235294119,1,39.98333359,2.351960897,3.716666698,0.092955396,13.82568264,0,0,0,0,0,0,0,0,0,1
u2942,1,261,136,251,0,10,0,0,185.9333344,94.1333313,0.506274402,183.2333374,2.700000048,0.985478163,259,135,0.521235347,2,1,0.499974996,0.99233681,0,60,0.712387979,50,140,112,17,14.16666698,0.016666668,1.47843051,3.976602316,0,82.71666718,76.79447937,6.035151005,214,3,0,70,152,36,0,39,31,35,29,21,0.724137902,1,41.71666718,1.438505769,35.53333282,0.851777852,7.904810429,50,30,0.600000024,1,56.54999924,1.131000042,37.61666489,0.665193021,5.142544746,113,67,0.592920363,1,90.78333282,0.803392351,50.90000153,0.560675621,2.512704849,20,17,0.850000024,1,29.48333359,1.474166632,28.64999962,0.971735418,10.67909622,0
u1406,1,229,162,183,9,37,0,0,393.9333191,301.7333374,0.765950024,389.0333252,4.900000095,0.987561107,221,155,0.701357126,8,7,0.874989092,0.965065062,1,50,1.720232129,96,121,32,11,27.35000038,0.033333335,9.682851791,4.634064198,0.016666668,70.6166687,63.77844238,5.178927422,148,19,1,57,146,13,0,42,41,30,30,20,0.666666687,1,52.18333435,1.739444494,36.66666794,0.702650905,6.911249638,35,25,0.714285731,1,71.53333282,2.043809414,56.01666641,0.78308481,9.476556778,53,41,0.773584902,1,90.18333435,1.701572299,74.26667023,0.823507667,7.008807659,17,10,0.588235319,1,31.81666756,1.87156868,16.89999962,0.531168163,7.890155792,0
u1705,1,149,60,147,0,2,0,0,206.5833282,93.80000305,0.454053849,205.1166687,1.466666698,0.992899895,145,57,0.393103182,4,3,0.749981225,0.97315371,0,13,1.386464357,73,61,21,22,15.33333302,0.083333336,3.890822887,7.17635107,0.016666668,46,90.31291199,3.344271421,97,8,0,79,47,19,1,40,33,32,25,9,0.360000014,1,33.59999847,1.343999982,13.89999962,0.413690478,1.311219573,28,10,0.357142866,1,34.98333359,1.249404788,14.94999981,0.427346349,1.263898492,57,22,0.3859649,1,78.59999847,1.378947377,39.31666565,0.500212073,2.128201962,14,5,0.357142866,1,21.35000038,1.524999976,9.266666412,0.434035897,1.403482199,0
u4681,1,462,138,445,4,13,0,0,510.5499878,136.75,0.267848343,342.7000122,167.8500061,0.671236753,414,127,0.306763202,48,11,0.229166195,0.89610368,5,148,1.105086327,135,184,171,44,15.4333334,0.016666668,2.717377901,2.109652996,0,113.1166687,44.41392517,11.37574005,337,20,0,290,17,83,1,36,33,35,91,27,0.296703309,1,95.06666565,1.044688702,18.95000076,0.199333802,2.210957766,127,41,0.322834641,1,162.5,1.279527545,43.18333435,0.265743583,4.621798515,218,71,0.325688064,1,255.7166595,1.173012257,80.40000153,0.314410478,3.429359674,71,16,0.225352108,1,86,1.211267591,12.8166666,0.149031013,2.672095299,1
u3511,1,103,40,73,22,8,0,0,181.0333405,91.68333435,0.506444216,149.3999939,31.63333321,0.82526195,81,34,0.419752568,22,6,0.272726029,0.786406994,0,44,1.757603526,44,52,22,3,16.48333359,0.016666668,7.100628376,10.41993332,0,76.1166687,217.4746094,2.303255558,65,10,0,19,20,37,4,37,24,28,13,4,0.307692319,1,17.91666603,1.37820518,9.833333015,0.548837185,3.135486603,21,8,0.380952388,1,27.56666756,1.312698364,11.64999962,0.422611862,3.374732971,40,13,0.324999988,1,42.48333359,1.062083364,18.73333359,0.440957248,2.293180466,11,3,0.272727281,1,17.36666679,1.578787923,9.683333397,0.557581604,3.441216707,0
u3646,1,1228,321,469,156,603,0,0,2914.366699,617.916687,0.212024331,2860.199951,54.16666794,0.981413901,1148,295,0.256968617,80,26,0.324999601,0.934853315,1,335,2.373262644,636,515,175,134,44.95000076,0.016666668,24.15309334,0.872792721,0,14.83333302,3.80861783,27.49478722,665,84,27,198,809,141,4,45,43,45,161,37,0.229813665,1,514.0999756,3.193167686,63.61666489,0.123743758,46.426651,220,52,0.236363634,1,632.2166748,2.873712063,93.73332977,0.148261413,35.83608627,398,103,0.25879398,1,1136.150024,2.854648352,214.4166718,0.188722149,33.07492065,113,22,0.194690272,1,392.4833374,3.473303795,29.93333244,0.076266505,61.75506592,0
u1644,1,124,59,119,5,0,0,0,174.9666595,95.76667023,0.547342062,172.8666687,2.099999905,0.987997174,123,59,0.479674399,1,0,0,0.991934657,0,14,1.411020398,33,67,33,19,16.85000038,0.033333335,4.172626019,8.446205139,0,76.06666565,162.6264343,2.841479063,77,7,0,36,68,19,1,38,32,28,16,8,0.5,1,25.38333321,1.586458325,14.71666622,0.579776764,3.314313173,27,14,0.518518507,1,30.68333244,1.136419773,18.38333321,0.599130929,2.324589252,69,31,0.449275374,1,90.98332977,1.318598986,44.61666489,0.49038285,2.646139622,12,4,0.333333343,1,20.54999924,1.712499976,9.883333206,0.480940789,4.192505836,0
u2083,1,4,3,1,3,0,0,0,1.75,0.550000012,0.314267755,1.583333373,0.166666672,0.904710233,3,2,0.666644454,1,1,0.999899983,0.749981225,0,4,0.437489063,0,4,0,0,1.200000048,0.116666667,0.196713835,240.0658722,96.30000305,505,35179.84375,0.099972524,3,0,0,0,1,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,1,1.366666675,0.683333337,0.166666672,0.121951222,0.266944438,0,0,0,0,0,0,0,0,0,0
u3055,1,417,258,379,19,19,0,0,520.4666748,376.1000061,0.722620606,518.6500244,1.816666722,0.996509373,414,255,0.615941882,3,3,0.999966681,0.992805541,0,57,1.248121262,151,191,124,51,28.35000038,0.016666668,6.669353485,2.553245068,0,46.56666565,22.78643417,9.39943409,293,14,2,95,243,74,0,44,42,36,35,23,0.657142878,1,24.25,0.692857146,15.63333321,0.644673526,0.34689343,66,41,0.621212125,1,82.16666412,1.24494946,66.16666412,0.805273831,13.63879585,146,91,0.623287678,1,207.1499939,1.41883564,152.5166626,0.736261964,14.03925133,18,12,0.666666687,1,9.033333778,0.501851857,7.216666698,0.798892975,0.174687922,0
u1138,1,390,179,388,2,0,0,0,621.0499878,151.6333313,0.244156361,613.083313,7.966666698,0.987172127,382,172,0.450261652,8,7,0.874989092,0.979486942,0,99,1.592435479,141,235,55,19,21.01666641,0.016666668,5.162222862,2.73230505,0,27.81666756,24.50875092,8.783471107,221,23,1,216,132,15,1,45,40,41,94,68,0.723404229,1,66.33333588,0.705673754,24.76666641,0.373366833,1.086593151,117,75,0.641025662,1,104.2333298,0.890883207,30.38333321,0.291493446,2.425197124,178,103,0.578651667,1,233.7833405,1.31338954,66.59999847,0.284879148,4.003246307,72,55,0.763888896,1,48.36666489,0.671759248,14.88333321,0.307718813,1.284024954,0
